GEO_ID,DSN,ID1,ID2,INSTRUMENT,CELLLIMITS,AREA_INSTRUMENT,TIME_RESOLUTION,ORIGIN,ADD_INFO,0
rmi,11,mir,mir_r1min,RD80,standard,5000,60,NASA KWAJALEIN DATASET,Composite,72924
us-w2,56,pts,pts_yr08_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,2603
us-w2,57,pts,pts_yr09_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,5721
us-w2,58,pts,pts_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,Composite,8324
us-c1,63,rma,rma_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,509
us-w1,12,swy,swy_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,11830
us-w1,13,wpt,wpt_yr09_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,10178
us-w1,14,wpt,wpt_yr10_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,23676
us-w1,15,wpt,wpt_yr11_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,33576
us-w1,16,wpt,wpt_yr12_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,43405
us-w1,17,wpt,wpt_yr13_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,,23653
us-w1,18,wpt,wpt_r2min,RD80,standard,5000,120,NOAA - PHYSICAL SCIENCES LABORATORY-- INVENTORY SITE,Composite,134488
